station,valid, tmpf ,  tmpc ,  dwpf ,  dwpc
BWI,2016-05-02 14:00,M,M,M,M
BWI,2016-05-02 14:05,M,M,M,M
BWI,2016-05-02 14:10,M,M,M,M
BWI,2016-05-02 14:15,M,M,M,M
BWI,2016-05-02 14:20,M,M,M,M
BWI,2016-05-02 14:25,M,M,M,M
BWI,2016-05-02 14:30,M,M,M,M
BWI,2016-05-02 14:35,M,M,M,M
BWI,2016-05-02 14:40,M,M,M,M
BWI,2016-05-02 14:45,M,M,M,M
BWI,2016-05-02 14:50,M,M,M,M
DMH,2016-05-02 14:54,55.94,13.30,53.96,12.20
BWI,2016-05-02 14:54,57.02,13.90,55.04,12.80
BWI,2016-05-02 14:55,M,M,M,M
BWI,2016-05-02 15:00,M,M,M,M
BWI,2016-05-02 15:05,M,M,M,M
BWI,2016-05-02 15:10,M,M,M,M
BWI,2016-05-02 15:15,M,M,M,M
BWI,2016-05-02 15:20,M,M,M,M
BWI,2016-05-02 15:25,M,M,M,M
BWI,2016-05-02 15:30,M,M,M,M
