,T2,SWDNB,SWUPB,LWDNB,LWUPB,LH,HFX,GRDFLX,TSK,QVAPOR,net_lw,r_net
2016-06-12 19:00:00,23.5252624512,253.744125366,44.1105155945,329.78515625,444.508605957,112.588821411,43.4639167786,74.8016281128,297.415344238,0.00793675053865,-114.723449707,94.9101600647
2016-06-12 20:00:00,21.0449157715,68.4727325439,11.9031963348,320.22088623,425.663513184,45.9811134338,1.76221084595,104.027931213,294.226654053,0.00774335907772,-105.442626953,-48.873090744
2016-06-12 21:00:00,19.5422607422,0.0,0.0,314.214355469,414.476470947,6.05598926544,-9.62797546387,101.375259399,292.50769043,0.00726453913376,-100.262115479,-100.262115479
2016-06-12 22:00:00,18.225,0.0,0.0,309.821166992,406.510437012,5.33163309097,-13.069732666,92.3370437622,291.112731934,0.00695026339963,-96.6892700195,-96.6892700195
2016-06-12 23:00:00,16.9546142578,0.0,0.0,305.593902588,399.294952393,4.66878890991,-13.6648597717,87.3504257202,289.815429688,0.00662094168365,-93.7010498047,-93.7010498047
2016-06-13 00:00:00,15.8901611328,0.0,0.0,301.62121582,393.153900146,4.36401844025,-14.5158176422,83.6986846924,288.737091064,0.00634987093508,-91.5326843262,-91.5326843262
2016-06-13 01:00:00,14.9014526367,0.0,0.0,297.79776001,387.767120361,4.08092880249,-15.1046066284,80.8247070312,287.74017334,0.00610176287591,-89.9693603516,-89.9693603516
2016-06-13 02:00:00,13.8969665527,0.0,0.0,294.1199646,382.365997314,3.66432332993,-14.8497753143,78.6741714478,286.732818604,0.00585509557277,-88.2460327148,-88.2460327148
2016-06-13 03:00:00,13.1153808594,0.0,0.0,291.640258789,377.787628174,3.18857955933,-15.4027719498,75.4786987305,285.924133301,0.0057521276176,-86.1473693848,-86.1473693848
2016-06-13 04:00:00,12.4427734375,0.0,0.0,289.954528809,374.148925781,2.74014043808,-15.8145093918,72.2915649414,285.222961426,0.00569443358108,-84.1943969727,-84.1943969727
2016-06-13 05:00:00,11.8167663574,0.0,0.0,288.315307617,370.815612793,2.58352279663,-16.4464435577,69.6768493652,284.597717285,0.00563322659582,-82.5003051758,-82.5003051758
2016-06-13 06:00:00,11.7512145996,20.0914993286,3.49267673492,287.592956543,369.061523438,7.70337104797,-15.9062538147,58.8164710999,284.53314209,0.00576393678784,-81.4685668945,-64.8697443008
2016-06-13 07:00:00,13.2517028809,187.517990112,32.5978431702,289.785522461,380.138641357,43.1796913147,25.9771327972,11.2680482864,286.921783447,0.00608655018732,-90.3531188965,64.5670280457
